registry_id,hospital_name,state,lga,facility_level,facility_level_option,ownership,ownership_type,bed_count,doctor_count,nurse_count,ambulance_count,has_emergency_unit,has_operating_theatre,has_icu,has_blood_bank,source
05/05/1/1/1/0022,Jiro Primary Health Clinic,Bauchi,Darazo,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0005,Daburai Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0021,Jimin Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0034,Lamba Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0002,Aliya Primary Health Clinic,Bauchi,Darazo,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0038,Mailafiya Primary Health Center,Bauchi,Darazo,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0056,Nahutan Sade Primary Health Center,Bauchi,Darazo,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0055,Zandam Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0017,Ganjigina Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0056,Zoro Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
10/19/1/1/1/0003,Edjekota Primary Health Center,Delta,Ughelli North,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
02/17/1/1/1/0021,Jabi Health Post,Adamawa,Shelleng,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
24/12/1/1/1/0008,Igbo Olomu Primary Health Center,Lagos,Ikorodu,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0032,Pango Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
04/20/1/1/1/0044,Umuchukwu Primary Health Center,Anambra,Orumba South,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0015,Gululu Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0035,Walai Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0023,Lizai Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
01/06/1/1/1/0047,Umuala Health Post,Abia,Isiala-Ngwa North,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0034,Surfe Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0033,Sharifori Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/05/1/1/1/0020,Indabo Health Post,Bauchi,Darazo,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
33/02/1/1/1/0025,Mazangari Health Post,Sokoto,Bodinga,Primary,Health Post,Public,State Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
13/08/1/1/1/0019,Ido Primary Health Care Center,Ekiti,Ido-Osi,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
33/05/1/1/1/0021,Kaikazaka Health Post,Sokoto,Goronyo,Primary,Health Post,Public,State Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
25/12/1/1/1/0043,Garagwa Primary Health Clinic,Nasarawa,Toto,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
01/06/1/1/1/0013,Amaorji Primary Health Center,Abia,Isiala-Ngwa North,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
33/08/1/1/1/0024,Here Health Post,Sokoto,Illela,Primary,Health Post,Public,State Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
