state,lga,population,centroid_latitude,centroid_longitude,nearest_hospital_registry_id,nearest_hospital_name,nearest_care_km,estimated_travel_time_minutes,average_road_speed_kph,road_access_factor,rurality_index,route_source,source
Ondo,Akure South,391612,7.186931,5.214301,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ese Odo,40035,6.222517,4.969739,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Idanre,201506,6.978331,5.195971,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ifedore,331343,7.356909,5.1144,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ilaje,172592,6.22337,4.771174,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ile Oluji/Okeigbo,317198,7.245559,4.857798,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Irele,100811,6.522316,5.004342,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Odigbo,287956,6.756749,4.736376,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Okitipupa,182483,6.553467,4.716071,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ondo East,38632,7.072608,4.952506,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ondo West,278425,6.991812,4.731786,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Ose,119904,7.046383,5.733786,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Ondo,Owo,234767,7.151151,5.56434,,,,,36.0,1.1,1.02,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Atakunmosa East,61149,7.448907,4.761451,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Atakunmosa West,75306,7.588227,4.632288,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ayedade,177848,7.298492,4.313687,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ayedire,69693,7.559157,4.234557,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Boluwaduro,47659,7.923294,4.811507,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Boripe,190707,7.869576,4.679019,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ede North,180245,7.714883,4.492043,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ede South,159607,7.658846,4.437066,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Egbedore,302499,7.791701,4.418509,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ejigbo,151504,7.859595,4.273367,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ife Central,175186,7.538836,4.521846,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ife East,389184,7.413472,4.57315,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ife North,135420,7.386629,4.448158,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ife South,153911,7.176455,4.554976,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ifedayo,20269,7.987133,4.987221,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ifelodun,119177,,,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ila,88424,7.987996,4.888452,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ilesha East,162350,7.604036,4.765548,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ilesha West,239032,7.643782,4.708156,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Irepodun,1093,,,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Irewole,132063,7.412813,4.227607,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Isokan,97358,7.277655,4.177675,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Iwo,302214,7.690518,4.198588,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Obokun,115159,7.778926,4.767935,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Odo Otin,132000,8.01842,4.669588,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Ola Oluwa,55598,7.761598,4.205487,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Olorunda,304243,7.879014,4.554135,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Oriade,150722,7.534808,4.872052,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Orolu,140251,7.875361,4.472723,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
Osun,Osogbo,287559,7.587991,4.463019,,,,,38.0,1.04,0.98,pending-osrm-cache,WorldPop v2.0 mean population
